query,sql
Geospatial data available at 1st Admin Level and Decent Work and Economic Growth of Russian Federation since 2005,"SELECT geospatial_data_available_at_1st_admin_level , decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date > 2005 AND country = 'Russian Federation'"
Countries having Data Sources Score between 10 and 51.,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 10 AND data_sources_score < 51
No Poverty and Reduced Inequality of Montenegro since 2014?,"SELECT no_poverty , reduced_inequality FROM spi_index_labelled_vFinal WHERE date > 2014 AND country = 'Montenegro'"
count Classification of status of employment by region?,"SELECT count(classification_of_status_of_employment), region FROM spi_index_labelled_vFinal GROUP BY region"
Data Products Score and Terms of Use Score of Iraq since 2007,"SELECT data_products_score , terms_of_use_score FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'Iraq'"
Countries having Machine Readability Score between 0.0 and 0.9.,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.0 AND machine_readability_score < 0.9
maximum of CRVS (WDI)?,SELECT max(crvs_(wdi)) FROM spi_index_labelled_vFinal
Business process of Cameroon before 2010?,SELECT business_process FROM spi_index_labelled_vFinal WHERE date < 2010 AND country = 'Cameroon'
total of NADA metadata in Middle East & North Africa in 2015?,SELECT sum(nada_metadata) FROM spi_index_labelled_vFinal WHERE region = 'Middle East & North Africa' AND date = 2015
What is the Countries having SPI Overall Score between 41 and 65 in 2008,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 41 AND spi_overall_score < 65 AND date = 2008
total of Classification of household consumption,SELECT sum(classification_of_household_consumption) FROM spi_index_labelled_vFinal
Countries having ODIN Open Data Openness Score between 0.0 and 0.5,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.5
average of Standards and Methods in South Asia in 2016.,SELECT avg(standards_and_methods) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2016
SPI Overall Score of Northern Mariana Islands in 2008?,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Northern Mariana Islands' AND date = 2008
Tell me the Machine Readability Score of Israel in 2019.,SELECT machine_readability_score FROM spi_index_labelled_vFinal WHERE country = 'Israel' AND date = 2019
Quality Education of San Marino in 2005.,SELECT quality_education FROM spi_index_labelled_vFinal WHERE country = 'San Marino' AND date = 2005
"Metadata Available Score and SPI Overall Score of Gambia, The since 2015.","SELECT metadata_available_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2015 AND country = 'Gambia, The'"
Reduced Inequality of Liberia in 2016.,SELECT reduced_inequality FROM spi_index_labelled_vFinal WHERE country = 'Liberia' AND date = 2016
Data Sources Score and Data Infrastructure Score of Sint Maarten (Dutch part) since 2007,"SELECT data_sources_score , data_infrastructure_score FROM spi_index_labelled_vFinal WHERE date > 2007 AND country = 'Sint Maarten (Dutch part)'"
Tell me the count of CPI base year.,SELECT count(cpi_base_year) FROM spi_index_labelled_vFinal
Central government accounting status of Gabon after 2012,SELECT central_government_accounting_status FROM spi_index_labelled_vFinal WHERE date > 2012 AND country ='Gabon'
"Find the Top 48 countries by Industry, Innovation and Infrastructure?",SELECT country FROM spi_index_labelled_vFinal ORDER BY 'industry_innovation_and_infrastructure' DESC LIMIT 48
Countries having Download Options Score between 0.2 and 0.3 in 2011.,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.2 AND download_options_score < 0.3 AND date = 2011
total of Finance in East Asia & Pacific in 2007.,SELECT sum(finance) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2007
SPI Overall Score of France in 2006,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'France' AND date = 2006
Countries having Data Products Score between 2 and 68?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 2 AND data_products_score < 68
count population by region.,"SELECT count(population), region FROM spi_index_labelled_vFinal GROUP BY region"
Clean Water and Sanitation of Hungary before 2013.,SELECT clean_water_and_sanitation FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Hungary'
Countries having Data Infrastructure Score between 34 and 57,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 34 AND data_infrastructure_score < 57
total of Responsible Consumption and Production.,SELECT sum(responsible_consumption_and_production) FROM spi_index_labelled_vFinal
maximum of Good Health and Well-being in East Asia & Pacific in 2009,SELECT max(good_health_and_well-being) FROM spi_index_labelled_vFinal WHERE region = 'East Asia & Pacific' AND date = 2009
Compilation of monetary and financial statistics of Brunei Darussalam before 2013?,SELECT compilation_of_monetary_and_financial_statistics FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Brunei Darussalam'
Countries having Data Infrastructure Score between 25 and 77?,SELECT country FROM spi_index_labelled_vFinal WHERE data_infrastructure_score > 25 AND data_infrastructure_score < 77
Countries having Data Sources Score between 54 and 91.,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 54 AND data_sources_score < 91
total of Standards and Methods in Latin America & Caribbean.,SELECT sum(standards_and_methods) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
Tell me the average Peace and Justice Strong Institutions by region?,"SELECT avg(peace_and_justice_strong_institutions), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having Data Sources Score between 85 and 94.,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 85 AND data_sources_score < 94
Business process of Cuba after 2018?,SELECT business_process FROM spi_index_labelled_vFinal WHERE date > 2018 AND country ='Cuba'
Classification of household consumption of Andorra before 2008?,SELECT classification_of_household_consumption FROM spi_index_labelled_vFinal WHERE date < 2008 AND country = 'Andorra'
Show me Countries having Data Products Score between 3 and 4 in 2007?,SELECT country FROM spi_index_labelled_vFinal WHERE data_products_score > 3 AND data_products_score < 4 AND date = 2007
List total Classification of status of employment by region.,"SELECT sum(classification_of_status_of_employment), region FROM spi_index_labelled_vFinal GROUP BY region"
ODIN Open Data Openness Score and SPI Overall Score of Mali since 2008.,"SELECT odin_open_data_openness_score , spi_overall_score FROM spi_index_labelled_vFinal WHERE date > 2008 AND country = 'Mali'"
average weights by region,"SELECT avg(weights), region FROM spi_index_labelled_vFinal GROUP BY region"
List of Countries having Data Use Score between 12 and 21 in 2009?,SELECT country FROM spi_index_labelled_vFinal WHERE data_use_score > 12 AND data_use_score < 21 AND date = 2009
"Business/establishment survey of Gambia, The in 2015","SELECT business/establishment_survey FROM spi_index_labelled_vFinal WHERE country = 'Gambia, The' AND date = 2015"
Countries having Machine Readability Score between 0.3 and 0.8 in 2016?,SELECT country FROM spi_index_labelled_vFinal WHERE machine_readability_score > 0.3 AND machine_readability_score < 0.8 AND date = 2016
Countries having Data Sources Score between 18 and 43.,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 18 AND data_sources_score < 43
Top 51 countries by Business/establishment census,SELECT country FROM spi_index_labelled_vFinal ORDER BY 'business/establishment_census' DESC LIMIT 51
Countries having Download Options Score between 0.2 and 0.4 in 2014.,SELECT country FROM spi_index_labelled_vFinal WHERE download_options_score > 0.2 AND download_options_score < 0.4 AND date = 2014
Data Products Score of Saudi Arabia in 2009?,SELECT data_products_score FROM spi_index_labelled_vFinal WHERE country = 'Saudi Arabia' AND date = 2009
What is the Partnerships to achieve the Goal of Eswatini before 2012.,SELECT partnerships_to_achieve_the_goal FROM spi_index_labelled_vFinal WHERE date < 2012 AND country = 'Eswatini'
Geospatial Data and Agriculture census of St. Martin (French part) since 2010.,"SELECT geospatial_data , agriculture_census FROM spi_index_labelled_vFinal WHERE date > 2010 AND country = 'St. Martin (French part)'"
average of Gender Equality,SELECT avg(gender_equality) FROM spi_index_labelled_vFinal
total Social Statistics by region?,"SELECT sum(social_statistics), region FROM spi_index_labelled_vFinal GROUP BY region"
minimum SDDS/e-GDDS subscription by region.,"SELECT min(sdds/e-gdds_subscription), region FROM spi_index_labelled_vFinal GROUP BY region"
Standards and Methods and Institutional Statistics of Mexico since 2011?,"SELECT standards_and_methods , institutional_statistics FROM spi_index_labelled_vFinal WHERE date > 2011 AND country = 'Mexico'"
Decent Work and Economic Growth of Kuwait after 2011?,SELECT decent_work_and_economic_growth FROM spi_index_labelled_vFinal WHERE date > 2011 AND country ='Kuwait'
Non_Proprietary format Score and Data Use Score of Comoros since 2019?,"SELECT non_proprietary_format_score , data_use_score FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Comoros'"
SPI Overall Score of Slovak Republic in 2012.,SELECT spi_overall_score FROM spi_index_labelled_vFinal WHERE country = 'Slovak Republic' AND date = 2012
maximum of Geospatial data available at 1st Admin Level in Latin America & Caribbean,SELECT max(geospatial_data_available_at_1st_admin_level) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean'
List Data Service Score and Data Products Score of Gibraltar since 2019.,"SELECT data_service_score , data_products_score FROM spi_index_labelled_vFinal WHERE date > 2019 AND country = 'Gibraltar'"
Show me Metadata Available Score and Download Options Score of South Sudan since 2006.,"SELECT metadata_available_score , download_options_score FROM spi_index_labelled_vFinal WHERE date > 2006 AND country = 'South Sudan'"
Countries having Data Sources Score between 8 and 71?,SELECT country FROM spi_index_labelled_vFinal WHERE data_sources_score > 8 AND data_sources_score < 71
count of Geospatial data available at 1st Admin Level.,SELECT count(geospatial_data_available_at_1st_admin_level) FROM spi_index_labelled_vFinal
count Partnerships to achieve the Goal by region?,"SELECT count(partnerships_to_achieve_the_goal), region FROM spi_index_labelled_vFinal GROUP BY region"
Countries having SPI Overall Score between 55 and 56.,SELECT country FROM spi_index_labelled_vFinal WHERE spi_overall_score > 55 AND spi_overall_score < 56
List average of Gender Equality in Latin America & Caribbean in 2014.,SELECT avg(gender_equality) FROM spi_index_labelled_vFinal WHERE region = 'Latin America & Caribbean' AND date = 2014
maximum Decent Work and Economic Growth by region,"SELECT max(decent_work_and_economic_growth), region FROM spi_index_labelled_vFinal GROUP BY region"
average of Environmental Statistics in Europe & Central Asia in 2009?,SELECT avg(environmental_statistics) FROM spi_index_labelled_vFinal WHERE region = 'Europe & Central Asia' AND date = 2009
minimum of Agriculture census in South Asia in 2004.,SELECT min(agriculture_census) FROM spi_index_labelled_vFinal WHERE region = 'South Asia' AND date = 2004
Compilation of government finance statistics of Oman before 2013?,SELECT compilation_of_government_finance_statistics FROM spi_index_labelled_vFinal WHERE date < 2013 AND country = 'Oman'
Countries having ODIN Open Data Openness Score between 0.0 and 0.5 in 2009?,SELECT country FROM spi_index_labelled_vFinal WHERE odin_open_data_openness_score > 0.0 AND odin_open_data_openness_score < 0.5 AND date = 2009
Geospatial data available at 1st Admin Level of Panama in 2011.,SELECT geospatial_data_available_at_1st_admin_level FROM spi_index_labelled_vFinal WHERE country = 'Panama' AND date = 2011
minimum of Classification of national industry.,SELECT min(classification_of_national_industry) FROM spi_index_labelled_vFinal
Labor force participation rate by sex and age and Social Statistics of Brazil since 2013?,"SELECT labor_force_participation_rate_by_sex_and_age , social_statistics FROM spi_index_labelled_vFinal WHERE date > 2013 AND country = 'Brazil'"
minimum of Responsible Consumption and Production in Sub-Saharan Africa?,SELECT min(responsible_consumption_and_production) FROM spi_index_labelled_vFinal WHERE region = 'Sub-Saharan Africa'
Show me Safely Managed Drinking Water and Data Releases of Dominica since 2009.,"SELECT safely_managed_drinking_water , data_releases FROM spi_index_labelled_vFinal WHERE date > 2009 AND country = 'Dominica'"
maximum of Agriculture census?,SELECT max(agriculture_census) FROM spi_index_labelled_vFinal
average of Geospatial data available at 1st Admin Level,SELECT avg(geospatial_data_available_at_1st_admin_level) FROM spi_index_labelled_vFinal
Climate Action of Saudi Arabia in 2004?,SELECT climate_action FROM spi_index_labelled_vFinal WHERE country = 'Saudi Arabia' AND date = 2004
Metadata Available Score of Sierra Leone in 2011?,SELECT metadata_available_score FROM spi_index_labelled_vFinal WHERE country = 'Sierra Leone' AND date = 2011
